section,original_token_count,common_sample_size,ttr_mean,ttr_std,ttr_median,ttr_q025,ttr_q975,token_entropy_mean_bits,token_entropy_std_bits,token_entropy_median_bits,token_entropy_q025_bits,token_entropy_q975_bits
astronomical,850,850,0.7388235294117647,0.0,0.7388235294117647,0.7388235294117647,0.7388235294117647,9.00256820629607,0.0,9.00256820629607,9.00256820629607,9.00256820629607
biological,6918,850,0.4450435294117647,0.013752062116524466,0.4447058823529412,0.4188235294117647,0.47294117647058825,7.745084458676661,0.07212009122991299,7.745288005248569,7.603998155105172,7.888665167782867
cosmological,2550,850,0.6002505882352941,0.013276491751136408,0.6,0.5741176470588235,0.6258823529411764,8.495034438368874,0.054646634479736535,8.495499666472616,8.390069664268843,8.601988421964611
herbal,11418,850,0.5985623529411764,0.015546546518456085,0.5988235294117648,0.5694117647058824,0.6305882352941177,8.436249692666152,0.06889528970832534,8.43647690119927,8.298521752634805,8.566700387763987
pharmaceutical,2579,850,0.577564705882353,0.013581133871361178,0.5776470588235294,0.5517647058823529,0.6047058823529412,8.355862299522606,0.06006588743748051,8.355954246035388,8.237025756530851,8.47400327399838
stars,10694,850,0.5912329411764706,0.01463066391670585,0.5905882352941176,0.5635294117647058,0.62,8.468454962890688,0.060618499996037814,8.46867539275124,8.356272792364614,8.589745219272153
text,1626,850,0.6571647058823529,0.011248307831213722,0.6564705882352941,0.6352941176470588,0.6788235294117647,8.744202099843598,0.04192151072441,8.743430353226662,8.659084457269886,8.822428303086477
zodiac,1332,850,0.6636352941176471,0.009684854226269128,0.6635294117647059,0.6447058823529411,0.6811764705882353,8.70516564832458,0.038612857810949246,8.705418178701919,8.627959001254608,8.779293110751267
