locator,folio_id,hand,reason
"f66r.12,+L0;H",f66r,,hand label is blank
"f66r.13,+L0;H",f66r,,hand label is blank
"f66r.14,+L0;H",f66r,,hand label is blank
"f66r.15,+L0;H",f66r,,hand label is blank
"f66r.16,@L0;H",f66r,,hand label is blank
"f66r.17,+L0;H",f66r,,hand label is blank
"f66r.18,+L0;H",f66r,,hand label is blank
"f66r.19,+L0;H",f66r,,hand label is blank
"f66r.20,+L0;H",f66r,,hand label is blank
"f66r.21,+L0;H",f66r,,hand label is blank
"f66r.22,+L0;H",f66r,,hand label is blank
"f66r.23,+L0;H",f66r,,hand label is blank
"f66r.24,+L0;H",f66r,,hand label is blank
"f66r.25,+L0;H",f66r,,hand label is blank
"f66r.26,+L0;H",f66r,,hand label is blank
"f66r.27,+L0;H",f66r,,hand label is blank
"f66r.28,+L0;H",f66r,,hand label is blank
"f66r.29,+L0;H",f66r,,hand label is blank
"f66r.30,+L0;H",f66r,,hand label is blank
"f66r.31,+L0;H",f66r,,hand label is blank
"f66r.32,+L0;H",f66r,,hand label is blank
"f66r.33,+L0;H",f66r,,hand label is blank
"f66r.34,+L0;H",f66r,,hand label is blank
"f66r.35,+L0;H",f66r,,hand label is blank
"f66r.36,+L0;H",f66r,,hand label is blank
"f66r.37,+L0;H",f66r,,hand label is blank
"f66r.38,+L0;H",f66r,,hand label is blank
"f66r.39,+L0;H",f66r,,hand label is blank
"f66r.40,+L0;H",f66r,,hand label is blank
"f66r.41,+L0;H",f66r,,hand label is blank
"f66r.42,+L0;H",f66r,,hand label is blank
"f66r.43,+L0;H",f66r,,hand label is blank
"f66r.44,+L0;H",f66r,,hand label is blank
"f66r.45,+L0;H",f66r,,hand label is blank
"f66r.46,+L0;H",f66r,,hand label is blank
"f66r.47,+L0;H",f66r,,hand label is blank
"f66r.48,+L0;H",f66r,,hand label is blank
"f66r.49,+L0;H",f66r,,hand label is blank
"f66r.50,@P0;H",f66r,,hand label is blank
"f66r.51,+P0;H",f66r,,hand label is blank
"f66r.52,+P0;H",f66r,,hand label is blank
"f66r.53,+P0;H",f66r,,hand label is blank
"f66r.54,+P0;H",f66r,,hand label is blank
"f66r.55,+P0;H",f66r,,hand label is blank
"f66r.56,+P0;H",f66r,,hand label is blank
"f66r.57,+P0;H",f66r,,hand label is blank
"f66r.58,+P0;H",f66r,,hand label is blank
"f66r.59,+P0;H",f66r,,hand label is blank
"f66r.60,+P0;H",f66r,,hand label is blank
"f66r.61,+P0;H",f66r,,hand label is blank
"f66r.62,+P0;H",f66r,,hand label is blank
"f66r.63,+P0;H",f66r,,hand label is blank
