hand,token,count,share
1,daiin,384,0.052798020074247214
1,chol,218,0.029973875979650764
1,chor,148,0.020349236903616116
1,s,105,0.014436958614051972
1,dy,101,0.013886979238278564
1,shol,97,0.013336999862505156
1,cthy,95,0.013062010174618452
1,chy,94,0.0129245153306751
1,sho,94,0.0129245153306751
1,dain,76,0.010449608139694762
1,dar,65,0.008937164856317887
1,y,63,0.008662175168431183
1,shor,62,0.008524680324487832
1,shy,58,0.007974700948714422
1,chey,54,0.0074247215729410145
1,or,50,0.0068747421971676066
1,qotchy,49,0.006737247353224254
1,ol,47,0.00646225766533755
1,cthol,46,0.006324762821394198
1,dal,43,0.005912278289564142
1,cthor,41,0.005637288601677437
1,cho,39,0.005362298913790733
1,dol,37,0.005087309225904029
1,dor,37,0.005087309225904029
1,qokchy,37,0.005087309225904029
1,oty,36,0.004949814381960676
1,shey,35,0.004812319538017324
1,chaiin,34,0.004674824694073972
1,oky,33,0.00453732985013062
1,dam,31,0.004262340162243916
1,d,30,0.004124845318300564
1,otol,30,0.004124845318300564
1,o,29,0.003987350474357211
1,otchy,29,0.003987350474357211
1,r,29,0.003987350474357211
1,aiin,28,0.0038498556304138597
1,cheor,28,0.0038498556304138597
1,otaiin,28,0.0038498556304138597
1,okaiin,27,0.0037123607864705073
1,qoty,27,0.0037123607864705073
1,kchy,26,0.0035748659425271553
1,char,25,0.0034373710985838033
1,chody,25,0.0034373710985838033
1,dair,24,0.003299876254640451
1,dchy,24,0.003299876254640451
1,qoky,24,0.003299876254640451
1,dchor,23,0.003162381410697099
1,okol,23,0.003162381410697099
1,otchol,23,0.003162381410697099
1,qokol,22,0.003024886566753747
1,cheol,21,0.0028873917228103944
1,ckhy,21,0.0028873917228103944
1,choty,20,0.0027498968788670424
1,odaiin,20,0.0027498968788670424
1,chodaiin,19,0.0026124020349236905
1,cthey,19,0.0026124020349236905
1,kol,19,0.0026124020349236905
1,qotol,19,0.0026124020349236905
1,saiin,19,0.0026124020349236905
1,chcthy,18,0.002474907190980338
1,sheey,18,0.002474907190980338
1,ar,17,0.002337412347036986
1,choky,17,0.002337412347036986
1,cthar,17,0.002337412347036986
1,dchol,17,0.002337412347036986
1,kchol,17,0.002337412347036986
1,qotor,17,0.002337412347036986
1,ykchy,17,0.002337412347036986
1,kaiin,16,0.002199917503093634
1,kchor,16,0.002199917503093634
1,shody,16,0.002199917503093634
1,sy,16,0.002199917503093634
