hand,line_count,token_count,unique_token_count,type_token_ratio,token_entropy_bits,mean_token_length
1,1139,7273,2213,0.30427608964663827,9.333090592305568,4.759384023099134
2,1221,9704,2283,0.23526380873866448,9.085969723854443,4.978153338829348
3,188,1820,833,0.4576923076923077,8.839731587392114,5.101098901098901
4,161,875,541,0.6182857142857143,8.598583745119873,5.209142857142857
5,61,546,319,0.5842490842490843,7.86329146384734,4.957875457875458
X,282,2741,1170,0.4268515140459686,9.20223850157018,5.352790952207224
Y,75,760,488,0.6421052631578947,8.482442255626697,5.264473684210526
