word_length,count,proportion
1,834,0.02196644454394606
2,2339,0.06160613164063529
3,3566,0.09392367055600917
4,6853,0.18049885426818027
5,9619,0.25335159480601577
6,7556,0.19901493402165038
7,4465,0.11760212816393184
8,1792,0.04719888324070904
9,664,0.01748887191508415
10,196,0.0051623778544525505
11,46,0.0012115784760449865
12,26,0.0006848052255906445
13,8,0.00021070930018173676
14,2,5.267732504543419e-05
15,1,2.6338662522717095e-05
