locator,folio_id,currier_language,reason
"f67r2.59,&Ls;H",f67r2,,Currier label is blank
"f67r2.60,&Ls;H",f67r2,,Currier label is blank
"f67r2.61,&Ls;H",f67r2,,Currier label is blank
"f67r2.62,&Ls;H",f67r2,,Currier label is blank
"f67r2.64,@L0;H",f67r2,,Currier label is blank
"f67r2.65,&L0;H",f67r2,,Currier label is blank
"f67r2.66,&L0;H",f67r2,,Currier label is blank
"f67r2.67,&L0;H",f67r2,,Currier label is blank
"f67r2.68,&L0;H",f67r2,,Currier label is blank
"f67r2.69,&L0;H",f67r2,,Currier label is blank
"f67r2.70,&L0;H",f67r2,,Currier label is blank
"f67r2.71,&L0;H",f67r2,,Currier label is blank
"f67r2.72,@P0;H",f67r2,,Currier label is blank
"f67r2.73,+P0;H",f67r2,,Currier label is blank
"f67r2.74,+P0;H",f67r2,,Currier label is blank
"f67v2.2,@La;H",f67v2,,Currier label is blank
"f67v2.22,@La;H",f67v2,,Currier label is blank
"f67v2.3,@Pb;H",f67v2,,Currier label is blank
"f67v2.4,+Pb;H",f67v2,,Currier label is blank
"f67v2.5,@Pb;H",f67v2,,Currier label is blank
"f67v2.6,+Pb;H",f67v2,,Currier label is blank
"f67v2.7,@Pb;H",f67v2,,Currier label is blank
"f67v2.8,+Pb;H",f67v2,,Currier label is blank
"f67v2.9,@Pb;H",f67v2,,Currier label is blank
"f67v2.10,+Pb;H",f67v2,,Currier label is blank
"f67v2.18,@Ri;H",f67v2,,Currier label is blank
"f67v2.12,@Ri;H",f67v2,,Currier label is blank
"f67v2.14,@Ri;H",f67v2,,Currier label is blank
"f67v2.16,@Ri;H",f67v2,,Currier label is blank
"f67v2.13,@Ro;H",f67v2,,Currier label is blank
"f67v2.15,@Ro;H",f67v2,,Currier label is blank
"f67v2.17,@Ro;H",f67v2,,Currier label is blank
"f67v2.11,@Ro;H",f67v2,,Currier label is blank
"f67v2.19,@La;H",f67v2,,Currier label is blank
"f67v2.20,+La;H",f67v2,,Currier label is blank
"f67v1.6,&L0;H",f67v1,,Currier label is blank
"f67v1.7,&L0;H",f67v1,,Currier label is blank
"f67v1.8,&L0;H",f67v1,,Currier label is blank
"f67v1.9,&L0;H",f67v1,,Currier label is blank
"f67v1.10,&L0;H",f67v1,,Currier label is blank
"f67v1.11,&L0;H",f67v1,,Currier label is blank
"f67v1.12,&L0;H",f67v1,,Currier label is blank
"f67v1.1,@L0;H",f67v1,,Currier label is blank
"f67v1.2,&L0;H",f67v1,,Currier label is blank
"f67v1.3,&L0;H",f67v1,,Currier label is blank
"f67v1.4,&L0;H",f67v1,,Currier label is blank
"f67v1.5,&L0;H",f67v1,,Currier label is blank
"f67v1.19,@Ro;H",f67v1,,Currier label is blank
"f67v1.20,@Ro;H",f67v1,,Currier label is blank
"f67v1.21,@Ro;H",f67v1,,Currier label is blank
"f67v1.22,@Ro;H",f67v1,,Currier label is blank
"f67v1.23,@Ro;H",f67v1,,Currier label is blank
"f67v1.24,@Ro;H",f67v1,,Currier label is blank
"f67v1.25,@Ro;H",f67v1,,Currier label is blank
"f67v1.26,@Ro;H",f67v1,,Currier label is blank
"f67v1.27,@Ro;H",f67v1,,Currier label is blank
"f67v1.28,@Ro;H",f67v1,,Currier label is blank
"f67v1.29,@Ro;H",f67v1,,Currier label is blank
"f67v1.13,@Ro;H",f67v1,,Currier label is blank
"f67v1.14,@Ro;H",f67v1,,Currier label is blank
"f67v1.15,@Ro;H",f67v1,,Currier label is blank
"f67v1.16,@Ro;H",f67v1,,Currier label is blank
"f67v1.17,@Ro;H",f67v1,,Currier label is blank
"f67v1.18,@Ro;H",f67v1,,Currier label is blank
"f68r1.1,@P0;H",f68r1,,Currier label is blank
"f68r1.2,+P0;H",f68r1,,Currier label is blank
"f68r1.3,+P0;H",f68r1,,Currier label is blank
"f68r1.4,+P0;H",f68r1,,Currier label is blank
"f68r1.5,@Pb;H",f68r1,,Currier label is blank
"f68r1.6,+Pb;H",f68r1,,Currier label is blank
"f68r1.7,+Pb;H",f68r1,,Currier label is blank
"f68r1.12,@Ls;H",f68r1,,Currier label is blank
"f68r1.17,@Ls;H",f68r1,,Currier label is blank
"f68r1.36,@Ls;H",f68r1,,Currier label is blank
"f68r1.21,@Ls;H",f68r1,,Currier label is blank
"f68r1.31,@Ls;H",f68r1,,Currier label is blank
"f68r1.13,@Ls;H",f68r1,,Currier label is blank
"f68r1.10,@Ls;H",f68r1,,Currier label is blank
"f68r1.9,@Ls;H",f68r1,,Currier label is blank
"f68r1.22,@Ls;H",f68r1,,Currier label is blank
"f68r1.27,@Ls;H",f68r1,,Currier label is blank
"f68r1.16,@Ls;H",f68r1,,Currier label is blank
"f68r1.32,@Ls;H",f68r1,,Currier label is blank
"f68r1.11,@Ls;H",f68r1,,Currier label is blank
"f68r1.28,@Ls;H",f68r1,,Currier label is blank
"f68r1.33,@Ls;H",f68r1,,Currier label is blank
"f68r1.20,@Ls;H",f68r1,,Currier label is blank
"f68r1.34,@Ls;H",f68r1,,Currier label is blank
"f68r1.23,@Ls;H",f68r1,,Currier label is blank
"f68r1.35,@Ls;H",f68r1,,Currier label is blank
"f68r1.8,@Ls;H",f68r1,,Currier label is blank
"f68r1.25,@Ls;H",f68r1,,Currier label is blank
"f68r1.26,@Ls;H",f68r1,,Currier label is blank
"f68r1.14,@Ls;H",f68r1,,Currier label is blank
"f68r1.15,@Ls;H",f68r1,,Currier label is blank
"f68r1.24,@Ls;H",f68r1,,Currier label is blank
"f68r1.19,@Ls;H",f68r1,,Currier label is blank
"f68r1.30,@Ls;H",f68r1,,Currier label is blank
"f68r1.29,@Ls;H",f68r1,,Currier label is blank
"f68r1.18,@Ls;H",f68r1,,Currier label is blank
"f68r1.37,@Cc;H",f68r1,,Currier label is blank
"f68r2.1,@P0;H",f68r2,,Currier label is blank
"f68r2.2,+P0;H",f68r2,,Currier label is blank
"f68r2.3,+P0;H",f68r2,,Currier label is blank
"f68r2.4,+P0;H",f68r2,,Currier label is blank
"f68r2.5,+P0;H",f68r2,,Currier label is blank
"f68r2.6,@Cc;H",f68r2,,Currier label is blank
"f68r2.7,@Ls;H",f68r2,,Currier label is blank
"f68r2.8,@Ls;H",f68r2,,Currier label is blank
"f68r2.9,@Ls;H",f68r2,,Currier label is blank
"f68r2.10,@Ls;H",f68r2,,Currier label is blank
"f68r2.11,@Ls;H",f68r2,,Currier label is blank
"f68r2.12,@Ls;H",f68r2,,Currier label is blank
"f68r2.13,@Ls;H",f68r2,,Currier label is blank
"f68r2.14,@Ls;H",f68r2,,Currier label is blank
"f68r2.15,@Ls;H",f68r2,,Currier label is blank
"f68r2.16,@Ls;H",f68r2,,Currier label is blank
"f68r2.17,@Ls;H",f68r2,,Currier label is blank
"f68r2.19,@Ls;H",f68r2,,Currier label is blank
"f68r2.18,@Ls;H",f68r2,,Currier label is blank
"f68r2.20,@Ls;H",f68r2,,Currier label is blank
"f68r2.21,@Ls;H",f68r2,,Currier label is blank
"f68r2.22,@Ls;H",f68r2,,Currier label is blank
"f68r2.23,@Ls;H",f68r2,,Currier label is blank
"f68r2.24,@Ls;H",f68r2,,Currier label is blank
"f68r2.25,@Ls;H",f68r2,,Currier label is blank
"f68r2.26,@Ls;H",f68r2,,Currier label is blank
"f68r2.27,@Ls;H",f68r2,,Currier label is blank
"f68r2.28,@Ls;H",f68r2,,Currier label is blank
"f68r2.29,@Ls;H",f68r2,,Currier label is blank
"f68r2.30,@Ls;H",f68r2,,Currier label is blank
"f68r2.31,@Cc;H",f68r2,,Currier label is blank
"f68r3.1,@Cc;H",f68r3,,Currier label is blank
