currier_language,line_count,token_count,unique_token_count,type_token_ratio,token_entropy_bits,mean_token_length,median_token_length
A,1809,11450,3410,0.29781659388646287,9.864768151461604,4.865065502183406,5.0
B,2646,23224,4926,0.21210816396830864,9.885541852551832,5.144720978298312,5.0
