section,line_count,token_count,unique_token_count,type_token_ratio,token_entropy_bits,mean_token_length,median_token_length
astronomical,240,850,628,0.7388235294117647,9.00256820629607,5.395294117647059,5.0
biological,917,6918,1550,0.22405319456490316,8.578814525917462,5.012575888985256,5.0
cosmological,323,2550,1156,0.4533333333333333,9.235654823952277,4.747843137254902,5.0
herbal,1630,11418,3358,0.29409703976177964,9.880016575194244,4.835698020669119,5.0
pharmaceutical,456,2579,1139,0.44164404808065144,9.080395878210997,5.0158976347421484,5
stars,1083,10694,3100,0.2898821769216383,9.847957033756035,5.322049747521975,5.0
text,223,1626,920,0.5658056580565806,9.261077674818397,5.031980319803198,5.0
zodiac,335,1332,808,0.6066066066066066,9.082003995987538,5.201951951951952,5.0
