section,line_count,token_count,unique_token_count,type_token_ratio,glyph_count,unique_glyph_count,glyph_entropy_bits,token_entropy_bits,mean_token_length,median_token_length
astronomical,240,850,628,0.7388235294117647,4586,19,3.7554038596397774,9.00256820629607,5.395294117647059,5.0
biological,917,6918,1550,0.22405319456490316,34677,19,3.8012811888216547,8.578814525917462,5.012575888985256,5.0
cosmological,323,2550,1156,0.4533333333333333,12107,21,3.888002964327609,9.235654823952277,4.747843137254902,5.0
herbal,1630,11418,3358,0.29409703976177964,55214,21,3.8440122201108893,9.880016575194244,4.835698020669119,5.0
pharmaceutical,456,2579,1139,0.44164404808065144,12936,19,3.7708088781524234,9.080395878210997,5.0158976347421484,5
stars,1083,10694,3100,0.2898821769216383,56914,20,3.853546551662121,9.847957033756035,5.322049747521975,5.0
text,223,1626,920,0.5658056580565806,8182,21,3.8894674844565778,9.261077674818397,5.031980319803198,5.0
zodiac,335,1332,808,0.6066066066066066,6929,19,3.727408990411057,9.082003995987538,5.201951951951952,5.0
