section,token,section_share,overall_share
astronomical,a,0.001176470588235294,0.0001316933126135855
astronomical,adairchdy,0.001176470588235294,2.6338662522717095e-05
astronomical,aiin,0.012941176470588235,0.012379171385677035
astronomical,aiiny,0.001176470588235294,0.00010535465009086838
astronomical,aiir,0.001176470588235294,0.0006057892380224932
astronomical,ain,0.001176470588235294,0.002423156952089973
astronomical,ainy,0.001176470588235294,5.267732504543419e-05
astronomical,air,0.002352941176470588,0.001949061026681065
astronomical,ais,0.001176470588235294,2.6338662522717095e-05
astronomical,al,0.0035294117647058825,0.006874390918429162
astronomical,alamchy,0.001176470588235294,2.6338662522717095e-05
astronomical,alchey,0.001176470588235294,0.00010535465009086838
astronomical,aldaiin,0.001176470588235294,7.90159875681513e-05
astronomical,aldy,0.002352941176470588,0.0003687412753180394
astronomical,aloiin,0.001176470588235294,5.267732504543419e-05
astronomical,aly,0.001176470588235294,0.0007638212131587958
astronomical,am,0.0035294117647058825,0.0023178023019991044
astronomical,amy,0.001176470588235294,2.6338662522717095e-05
astronomical,ar,0.00823529411764706,0.009297547870519136
astronomical,aral,0.001176470588235294,0.0004214186003634735
astronomical,araly,0.001176470588235294,2.6338662522717095e-05
astronomical,aram,0.002352941176470588,0.0003160639502726052
astronomical,archeor,0.001176470588235294,2.6338662522717095e-05
astronomical,aroka,0.001176470588235294,2.6338662522717095e-05
astronomical,arolsas,0.001176470588235294,2.6338662522717095e-05
astronomical,ary,0.002352941176470588,0.0006848052255906445
astronomical,asa,0.001176470588235294,2.6338662522717095e-05
astronomical,cckheor,0.001176470588235294,2.6338662522717095e-05
astronomical,ceectheey,0.001176470588235294,2.6338662522717095e-05
astronomical,ch,0.002352941176470588,0.00021070930018173676
astronomical,chcphy,0.001176470588235294,0.00028972528774988805
astronomical,chcs,0.001176470588235294,2.6338662522717095e-05
astronomical,chdar,0.001176470588235294,0.000526773250454342
astronomical,chdchol,0.001176470588235294,2.6338662522717095e-05
astronomical,chdy,0.001176470588235294,0.004003476703452999
astronomical,che,0.001176470588235294,5.267732504543419e-05
astronomical,chear,0.001176470588235294,0.0013432717886585719
astronomical,chedady,0.001176470588235294,2.6338662522717095e-05
astronomical,chedaiin,0.001176470588235294,0.000842837200726947
astronomical,chedaly,0.001176470588235294,7.90159875681513e-05
astronomical,chedar,0.001176470588235294,0.0007901598756815129
astronomical,chedy,0.001176470588235294,0.013195669923881265
astronomical,cheekchey,0.001176470588235294,2.6338662522717095e-05
astronomical,cheeky,0.001176470588235294,0.0006321279005452104
astronomical,cheeteey,0.001176470588235294,0.00010535465009086838
astronomical,cheey,0.004705882352941176,0.004582927278952775
astronomical,chekchy,0.001176470588235294,0.0001316933126135855
astronomical,chekeey,0.001176470588235294,0.0001580319751363026
astronomical,chekeys,0.001176470588235294,2.6338662522717095e-05
astronomical,chekody,0.002352941176470588,7.90159875681513e-05
astronomical,cheky,0.001176470588235294,0.0017120130639766112
astronomical,cheo,0.0058823529411764705,0.0017120130639766112
astronomical,cheoal,0.001176470588235294,5.267732504543419e-05
astronomical,cheockhedchy,0.001176470588235294,2.6338662522717095e-05
astronomical,cheockhey,0.001176470588235294,5.267732504543419e-05
astronomical,cheockhy,0.001176470588235294,0.000263386625227171
astronomical,cheodaiin,0.001176470588235294,0.00028972528774988805
astronomical,cheodaiir,0.001176470588235294,2.6338662522717095e-05
astronomical,cheody,0.004705882352941176,0.0023441409645218216
astronomical,cheoekeey,0.001176470588235294,2.6338662522717095e-05
astronomical,cheokorchey,0.001176470588235294,2.6338662522717095e-05
astronomical,cheol,0.002352941176470588,0.0045565886164300575
astronomical,cheor,0.004705882352941176,0.0026338662522717095
astronomical,cheorol,0.001176470588235294,5.267732504543419e-05
astronomical,cheos,0.002352941176470588,0.0008691758632496642
astronomical,cheoteeo,0.001176470588235294,2.6338662522717095e-05
astronomical,chesokeeoteody,0.001176470588235294,2.6338662522717095e-05
astronomical,chesy,0.001176470588235294,7.90159875681513e-05
astronomical,chetal,0.001176470588235294,2.6338662522717095e-05
astronomical,cheteedy,0.001176470588235294,2.6338662522717095e-05
astronomical,cheteey,0.001176470588235294,7.90159875681513e-05
astronomical,chetegy,0.001176470588235294,2.6338662522717095e-05
astronomical,chetey,0.001176470588235294,0.0001316933126135855
astronomical,chety,0.001176470588235294,0.0006584665630679274
astronomical,chey,0.002352941176470588,0.00906049990781468
astronomical,chkchdar,0.001176470588235294,2.6338662522717095e-05
astronomical,chkchykoly,0.001176470588235294,2.6338662522717095e-05
