token,overall_share,line_initial_share,line_medial_share,line_final_share,single_token_line_share
cfhol,0.0001580319751363026,0.0,0.00021152829190904283,0.0,0.0
cfhoy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfhs,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfhy,0.0001580319751363026,0.0,0.00017627357659086903,0.00022753128555176336,0.0
cfhyaiin,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ch,0.00021070930018173676,0.0,0.00028203772254539045,0.0,0.0
cha,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
chad,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chadaiin,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chady,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chaiiin,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chaiin,0.0011852398135222693,0.0,0.0013044244667724308,0.0018202502844141069,0.0
chaiind,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chaiir,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chaim,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chain,0.0004740959254089077,0.00022753128555176336,0.0005640754450907809,0.00022753128555176336,0.0
chaindy,2.6338662522717095e-05,0.00022753128555176336,0.0,0.0,0.0
chair,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chairal,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chakain,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chakeey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chakod,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chal,0.0012642558010904207,0.0,0.0014806980433632998,0.0013651877133105802,0.0
chalaiin,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chalal,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chalaly,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chald,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chalg,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chalkain,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chalkar,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
chalkeedy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chalkeeedy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chalkeey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chalolky,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chaloly,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chalor,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chalr,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
chals,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
chalsain,2.6338662522717095e-05,0.0,0.0,0.0,0.0012315270935960591
chaltar,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chaly,0.0001316933126135855,0.0,0.00017627357659086903,0.0,0.0
cham,0.000526773250454342,0.0,0.00028203772254539045,0.0027303754266211604,0.0
chan,0.00028972528774988805,0.0,0.00031729243786356425,0.0004550625711035267,0.0
chap,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
chapchy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
