currier_language,exp003_full_section_mean_jsd_bits,exp006_section_within_currier_mean_jsd_bits,exp006_same_currier_section_within_currier_mean_jsd_bits,exp007_observed_mean_jsd_bits,exp007_null_mean_jsd_bits,exp007_null_q975_bits,exp007_empirical_p_value,exp007_conclusion_label
A,0.5554700431523788,0.48050447382407735,0.5355956685429015,0.5355956685429015,0.38805169568795816,0.39941216554950554,0.000999000999000999,above_null_97_5
B,0.5554700431523788,0.48050447382407735,0.46397711540843006,0.46397711540843006,0.3449325698805918,0.35311149369219175,0.000999000999000999,above_null_97_5
