currier_language,valid_section_count,valid_sections,observed_mean_jsd_bits,null_mean_jsd_mean_bits,null_mean_jsd_std_bits,null_mean_jsd_median_bits,null_mean_jsd_q025_bits,null_mean_jsd_q975_bits,observed_minus_null_mean_bits,empirical_percentile,empirical_p_value,conclusion_label,signal_label
A,3,herbal;pharmaceutical;text,0.5355956685429015,0.38805169568795816,0.0055697390695394955,0.3879099799087588,0.37747830673375826,0.39941216554950554,0.14754397285494336,1.0,0.000999000999000999,above_null_97_5,section_signal_above_null_within_currier
B,5,biological;cosmological;herbal;stars;text,0.46397711540843006,0.3449325698805918,0.004246063198320629,0.34494051164064166,0.33619693237799836,0.35311149369219175,0.11904454552783827,1.0,0.000999000999000999,above_null_97_5,section_signal_above_null_within_currier
