rank,old_token,old_count,cleaned_token,cleaned_count
1,daiin,751,daiin,864
2,ol,507,ol,539
3,chedy,490,chedy,501
4,aiin,448,aiin,470
5,shedy,424,shedy,427
6,chol,378,chol,396
7,ar,344,or,367
8,or,344,ar,353
9,chey,336,chey,344
10,qokeey,307,dar,319
11,qokeedy,301,qokeey,308
12,dar,286,qokeedy,305
13,shey,271,shey,283
14,qokain,271,qokain,279
15,qokedy,263,qokedy,272
16,qokaiin,257,dy,271
17,al,249,qokaiin,262
18,dal,228,al,261
19,chor,203,s,255
20,okaiin,203,dal,253
